id,name,nationality,sex,date_of_birth
220820586,Ali Zein Mohamed,EGY,male,1990-12-14
76451177,Alia Atkinson,JAM,female,1988-12-11
432850961,Alia Saeed Mohammed,UAE,female,1993-11-13
502227727,Aliaksandr Bersanau,BLR,male,1992-09-01
23998076,Aliaksandr Buikevich,BLR,male,1984-11-19
564017885,Aliaksandr Liakhovich,BLR,male,1989-07-04
68967384,Aliaksandra Herasimenia,BLR,female,1985-12-31
775336377,Aliaksandra Tarasava,BLR,female,1988-06-23
185532375,Aliaksei Mzhachyk,BLR,male,1996-06-30
481292461,Alican Kaynar,TUR,male,1988-10-30
198660870,Alice Aprot Nawowuna,KEN,female,1994-01-02
824189087,Alice Ingley,AUS,female,1993-01-13
200278263,Alice Mizzau,ITA,female,1993-03-18
273156241,Alice Naber-Lozeman,NED,female,1971-05-07
713167631,Alice Richardson,GBR,female,1987-05-14
965421454,Alice Schlesinger,GBR,female,1988-05-26
693106463,Alice Sinno,ITA,female,1992-09-08
350838880,Alice Sotero,ITA,female,1991-05-28
598475958,Alicia Blagg,GBR,female,1996-10-21
537043954,Alicia Brown,CAN,female,1990-01-21
247476216,Alicia Cebrian Martinez de Lagos,ESP,female,1983-02-03
556923374,Alicia Coutts,AUS,female,1987-09-14
906544891,Alicia Magaz,ESP,female,1994-05-24
404345231,Alicia Quirk,AUS,female,1992-03-28
284199636,Alicja Tchorz,POL,female,1992-08-13
297498164,Alin Alexuc Ciurariu,ROU,male,1990-02-03
667093236,Alin Coste,ROU,male,1992-02-17
991471809,Alin George Moldoveanu,ROU,male,1983-05-03
146849551,Alina Armas,NAM,female,1983-12-10
9436047,Alina Fodorova,UKR,female,1989-07-31
452472549,Alina Komashchuk,UKR,female,1993-04-24
